relationship_id,from,to,from_factor_id,to_factor_id,polarity,strength,delay,definition
70,Age Structure,Knowledge Transmission,V62,V94,opposite,medium,years,Age demographics directly impact knowledge transfer through experience and succession planning that determines the flow of expertise between generations.
35,Bottom Temperature,Stock Biomass,V40,V1,opposite,strong,months,Bottom temperature directly affects stock biomass by influencing fish survival through physiological stress and habitat suitability in deep water environments.
5,Catch Limit,Fishing Mortality,V4,V5,opposite,medium,months,Catch limits directly constrain fishing mortality by setting maximum allowable harvest levels that are enforced through quota allocation systems.
77,Catch Per Unit Effort,Stock Biomass,V68,V1,same,medium,months,CPUE directly indicates population size through standardized catch rate measurements that provide estimates of fish abundance and distribution.
24,Catch Volume,Domestic Supply,V7,V22,same,medium,months,Catch volumes directly contribute to domestic supply by providing seafood products to local markets through established supply chains.
15,Catch Volume,Market Price,V7,V14,opposite,medium,days,Catch volume directly influences market prices through supply-demand dynamics
8,Catch Volume,Profit Level,V7,V8,same,medium,months,Catch volumes directly influence profit levels through market prices and revenue generation
21,Catch Volume,Technology Adoption,V7,V19,same,medium,years,Catch volumes directly influence technology adoption by providing the financial resources needed to invest in new fishing technologies and methods.
23,Catchability,Catch Volume,V20,V7,same,medium,months,Catchability directly affects catch volumes by determining how effectively fishing gear can capture target species
93,Certification Status,Species Price,V84,V76,same,medium,years,Certification directly commands premium prices through market differentiation and consumer trust that validates sustainability claims and product quality.
36,Chlorophyll-a,Recruitment Rate,V41,V2,same,medium,months,Chlorophyll-a levels directly affect recruitment rates by influencing food availability for larval fish and overall ecosystem productivity.
67,Community Economic Dependence,Employment in Fishery,V59,V58,same,medium,months,Community reliance directly supports fishery jobs through local economic integration that creates stable employment opportunities in fishing communities.
72,Community Perceptions,Management Restrictions,V64,V37,same,medium,months,Public opinion directly shapes regulations through stakeholder engagement and social license that influences management decisions and policy development.
32,Compliance Rate,Illegal Catch,V26,V27,opposite,medium,months,Compliance rates directly affect illegal catch by determining the proportion of fishing activity that follows regulations versus operating outside legal frameworks.
87,Consumer Preferences,Species Price,V78,V76,variable,medium,months,Consumer demand directly affects prices through preference changes and market dynamics that determine willingness to pay and market equilibrium.
96,Cultural Fishing Practices,Fishing Methods,V87,V67,same,medium,decade,Traditional methods directly influence techniques through cultural practice and innovation that incorporates time-tested approaches and local expertise.
102,Cultural Harvest Levels,Catch Volume,V93,V7,same,medium,months,Traditional harvest directly affects total catch through cultural allocation that determines harvest patterns and resource distribution.
