Source,Target,Type,Strength,Temporality,Explanation
V1,V2,same,strong,years,Adult fish populations drive reproductive output through density-dependent fecundity, where larger populations create more spawning aggregations and produce more viable eggs and larvae, directly increasing recruitment rates.
V2,V1,same,strong,years,Recruitment success directly increases adult stock biomass as new cohorts join the spawning population after surviving critical life stages and environmental bottlenecks.
V3,V1,opposite,strong,months,Mortality rates directly reduce stock biomass by removing individuals from the population through both natural causes and fishing activities.
V1,V4,same,medium,months,Stock biomass directly influences catch limits through stock assessment models that calculate maximum sustainable yield based on current population size and reproductive capacity.
V4,V5,opposite,medium,months,Catch limits directly constrain fishing mortality by setting maximum allowable harvest levels that are enforced through quota allocation systems.
V5,V1,opposite,strong,months,Fishing mortality directly reduces stock biomass by removing individuals from the population, with size-selective mortality potentially altering population age structure and sex ratios.
V6,V1,same,medium,months,Growth rates directly affect stock biomass by influencing individual survival rates and reproductive output through size-dependent mortality and fecundity.
V7,V8,same,medium,months,Catch volumes directly influence profit levels through market prices and revenue generation, with higher catches typically increasing total revenue when market prices remain stable.
V8,V9,same,medium,years,Profit levels directly influence fleet size by affecting the economic viability of vessel operations and the ability to invest in new vessels or maintain existing ones.
V9,V10,same,medium,years,Fleet size directly affects efficiency through economies of scale and the ability to invest in technological improvements and operational optimization.
V10,V7,same,medium,months,Vessel efficiency directly increases catch volumes through improved technology, better targeting, and optimized fishing operations.
V11,V12,same,medium,months,Ocean temperature directly affects species distribution by influencing physiological performance and habitat suitability, causing species to shift their ranges in response to thermal conditions.
V12,V13,same,medium,months,Species distribution directly influences fishing patterns by determining the spatial location of fishing effort as fishers follow target species to maintain catch rates.
V13,V7,same,medium,days,Strategic fishing patterns directly increase catch volumes by targeting fish aggregations and productive habitats where fish are more abundant and easier to catch.
V7,V14,opposite,medium,days,Catch volume directly influences market prices through supply-demand dynamics, where increased supply typically reduces unit value when demand remains constant.
V14,V15,same,medium,months,Market prices directly influence fishing effort by affecting the economic incentives for fishers to allocate time and resources to fishing activities.
V15,V7,same,medium,days,Fishing effort directly affects catch volumes through the interaction between fishing power and resource availability, with higher effort typically leading to higher catches when fish are available.
V5,V16,opposite,weak,years,Fishing mortality directly affects food web structure by removing key predators and altering trophic interactions between species, potentially causing cascading effects through the ecosystem.
V16,V17,same,weak,months,Food web structure directly influences predation rates by determining the availability and diversity of prey species and the strength of predator-prey interactions.
